year,ID
1990,15-49
1991,15-49
1998,15-49
1999,15-49
2000,15-49
2007,15-49
2008,15-49
2009,15-49
2010,15-49
2011,15-49
2012,15-49
2013,15-49
2014,15-49
2015,15-49
2016,15-49
2017,15-49
2018,15-49
2019,15-49
2020,15-49
2021,15-49
2022,15-49
2023,15-49
1967,15-53
1970,15-53
1971,15-53
1972,15-53
1976,15-53
1978,15-53
1979,15-53
1980,15-53
1981,15-53
1982,15-53
1983,15-53
1984,15-53
1985,15-53
1986,15-53
1987,15-53
1988,15-53
1989,15-53
1990,15-53
1991,15-53
1992,15-53
1993,15-53
1994,15-53
1995,15-53
1996,15-53
1997,15-53
1998,15-53
1999,15-53
2000,15-53
2004,15-53
2005,15-53
2006,15-53
2007,15-53
2008,15-53
2009,15-53
2010,15-53
2011,15-53
2012,15-53
2013,15-53
2014,15-53
2015,15-53
2016,15-53
2017,15-53
2018,15-53
2019,15-53
2020,15-53
2021,15-53
2022,15-53
2023,15-53
1989,15-79
1991,15-79
1992,15-79
1994,15-79
1998,15-79
1999,15-79
2000,15-79
2001,15-79
2002,15-79
2003,15-79
2005,15-79
2006,15-79
2007,15-79
2008,15-79
2009,15-79
2010,15-79
2011,15-79
2012,15-79
2013,15-79
2014,15-79
2015,15-79
2016,15-79
2017,15-79
2018,15-79
2019,15-79
2020,15-79
2021,15-79
2022,15-79
2023,15-79
1953,150-1
1954,150-1
1955,150-1
1956,150-1
1957,150-1
1958,150-1
1960,150-1
1961,150-1
1962,150-1
1963,150-1
1964,150-1
1965,150-1
1968,150-1
1969,150-1
1970,150-1
1972,150-1
1977,150-1
1978,150-1
1979,150-1
1980,150-1
1981,150-1
1983,150-1
1984,150-1
1989,150-1
1990,150-1
1991,150-1
1992,150-1
1993,150-1
1994,150-1
1995,150-1
1996,150-1
1997,150-1
1998,150-1
1999,150-1
2000,150-1
2001,150-1
2002,150-1
2004,150-1
2005,150-1
2006,150-1
2007,150-1
2008,150-1
2009,150-1
2010,150-1
2011,150-1
