year_key,decimaldate,Qm3_s,d,ID
2013,2013.39098173516,280.335968,1,234-13
2014,2014.43047945206,177.414642,1,234-13
2015,2015.40936073059,175.494766,1,234-13
2016,2016.35803734062,137.28157,1,234-13
2017,2017.44121004566,213.855362,1,234-13
2018,2018.37579908676,257.776306,1,234-13
2019,2019.41632420091,136.30188,1,234-13
2020,2020.43738615665,430.854248,1,234-13
2021,2021.42488584475,178.539627,1,234-13
2022,2022.40057077626,281.357147,1,234-13
2023,2023.37602739726,283.405426,1,234-13
1992,1992.41095362781,1368.91316367779,1,234-18
1993,1993.3852739726,1590.705933,1,234-18
1994,1994.3598173516,980.096558,1,234-18
1995,1995.40639269406,1687.437988,1,234-18
1996,1996.43499544627,2097.956055,1,234-18
1997,1997.44417808219,2123.640869,1,234-18
1998,1998.37876712329,1969.91626,1,234-18
1999,1999.39212328767,2005.672119,1,234-18
2000,2000.41586976321,2266.038818,1,234-18
2001,2001.35422374429,1350.301636,1,234-18
2002,2002.32910958904,1919.5896,1,234-18
2003,2003.36997716895,1751.467407,1,234-18
2004,2004.34688069217,1635.569214,1,234-18
2005,2005.40353881279,2162.517334,1,234-18
2006,2006.34098173516,1369.591431,1,234-18
2007,2007.38938356164,1878.850464,1,234-18
2008,2008.42144808743,1163.205566,1,234-18
2009,2009.35890410959,1721.827271,1,234-18
2010,2010.37933789954,2092.891357,1,234-18
2011,2011.39840182648,1394.199463,1,234-18
2012,2012.38570127505,1669.933228,1,234-18
2013,2013.39212328767,1598.870605,1,234-18
2014,2014.42831050228,1085.873291,1,234-18
2015,2015.39566210046,1212.349731,1,234-18
2016,2016.35815118397,1096.407593,1,234-18
2017,2017.4399543379,1527.041016,1,234-18
2018,2018.37431506849,1672.51416,1,234-18
2019,2019.36803652968,870.11377,1,234-18
2020,2020.43761384335,2401.101074,1,234-18
2021,2021.3850456621,1066.012085,1,234-18
2022,2022.400456621,1839.305054,1,234-18
2023,2023.37659817352,1649.333618,1,234-18
1981,1981.47902486048,7.84682465528158,1,237-1
1982,1982.50655555556,8.92398845307421,1,237-1
1983,1983.44074854135,6.54976530937231,1,237-1
1984,1984.40403653739,6.92263013490083,1,237-1
1991,1991.46791726915,5.84675962196831,1,237-1
1993,1993.46779490107,7.05076739130915,1,237-1
1994,1994.45584474886,5.78125244999956,1,237-1
1995,1995.43027016743,5.33242294999824,1,237-1
1997,1997.44093226788,7.24343894375469,1,237-1
1998,1998.514847793,4.66818400013461,1,237-1
1999,1999.44885844749,7.882699,1,237-1
2000,2000.41473132969,7.537471,1,237-1
2001,2001.43721461187,7.755727,1,237-1
2002,2002.33847031963,4.018421,1,237-1
2003,2003.37420091324,6.642604,1,237-1
2004,2004.48428961749,3.862255,1,237-1
