Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
90.1	1	1	1	FALSE	FALSE	Førdeelv	2.99	2008	2015		8	2008	2015		8
91.2	1	1	1	FALSE	FALSE	Dalsbøvatn	25.72	1935	2015		81	1984	2015	2009	31
96.3	1	1	1	FALSE	FALSE	Hareidselv	40.37	1986	2015	2009:2010	28	1986	2015	1987, 1992, 1996, 2002, 2009, 2010	24
98.4	1	1	1	FALSE	FALSE	Øye ndf.	138.78	1917	2015	1956, 1979:1982, 1999	93	1991	2015	1999, 2002	23
99.1	1	1	1	FALSE	FALSE	Onilsavatn	303	1910	1918		9				
99.2	1	1	1	FALSE	FALSE	Heimste Kaldhussetervann	99,8	1913	1924	1920	11				
99.3	1	1	1	FALSE	FALSE	Øyen	183	1912	1923	1920	11				
99.17	1	1	2	FALSE	FALSE	Rødøla	49.86	1986	2015	1995, 1996, 2007	27	1993	2015	1995, 1996, 2007, 2013	19
100.1	1	1	1	FALSE	FALSE	Alstad	226.31	1984	2015		32	1999	2015	2008, 2013, 2014	14
101.1	1	1	1	FALSE	FALSE	Engsetvatn	39.93	1924	2015		92	1991	2015		25
102.1	1	1	1	FALSE	FALSE	Hildreelv	14.25	2007	2015		9	2007	2015		9
103.1	2	1	1	FALSE	FALSE	Storhølen	435.51	1972	2015		44	1986	2015	1991	29
103.3	1	1	1	FALSE	FALSE	Stuguflåten	377.02	1972	2015	1993, 1994, 1995, 1996, 1997, 2010, 2012, 2013	36	1983	2015	1986, 1987, 1993:1997, 2003, 2010, 2012, 2013	22
103.6	1	1	1	FALSE	FALSE	Grøtta bru	78,8	1917	1930		14				
103.21	1	1	2	FALSE	FALSE	Krossan	156	1973	1990	1976:1979	14	1985	1990		6
103.40	1	1	2	TRUE	FALSE	Rauma v/Horgheim	1099.42	1913	2015	2012	102	1986	2015	2012	29
104.1	1	1	1	FALSE	FALSE	Lille Eikesdalsvatn	801.44	1907	1955		49				
104.22	1	1	2	FALSE	FALSE	Midtre Mardalsvatn	13.68	1976	2015	2012	39	1976	2015	1978, 1981:1987, 1996, 2012	30
104.23	1	1	2	FALSE	FALSE	Vistdal	66.52	1976	2015		40	1976	2015		40
105.1	2	1	1	FALSE	FALSE	Øren	137.59	1924	2015		92	1986	2015	1997	29
109.1	1	1	1	FALSE	FALSE	Litledalselv	330	1913	1952		40				
